"Packet","Sequence","Delta (ms)","Jitter (ms)","Skew","Bandwidth","Marker","Status"
"127.0.0.1:56795 → 127.0.0.1:5004 (0x03b7f841)"
3,11388,0,0,0,10.848,"","OK"
6,11389,609.917316,728.4905844166667,11655.849350666667,21.696,"","OK"
7,11390,2.0160979999999427,682.9623889878474,11655.888808222224,32.544,"","OK"
8,11391,2.040083000000095,640.2782067108291,11655.904280777777,43.392,"","OK"
9,11392,2.0571489999999812,600.2609183816801,11655.902687333333,54.24,"","OK"
10,11393,2.0544669999999314,562.7446790175474,11655.90377588889,65.088,"","OK"
11,11394,2.063447999999994,527.5736298567285,11655.895883444444,75.936,"","OK"
12,11395,2.0661270000000513,494.60093870596074,11655.885312,86.784,"","OK"
13,11396,2.038449000000014,463.6894491965604,11655.902418555555,97.632,"","OK"
14,11397,2.084389999999985,434.7106607745531,11655.873584111112,108.48,"","OK"
15,11398,2.0265600000000177,407.5430566983657,11655.902579666666,119.328,"","OK"
16,11399,2.086742999999956,382.07356486999555,11655.871392222223,130.176,"","OK"
17,11400,2.024813999999992,358.195888412843,11655.902133777778,141.024,"","OK"
18,11401,2.0549080000000686,335.8086858592625,11655.902781333332,151.872,"","OK"
19,11402,2.057003000000009,314.8207334583363,11655.901333888889,162.72,"","OK"
20,11403,2.0792519999999968,295.1459186449681,11655.877637444444,173.568,"","OK"
21,11404,2.0351409999999532,276.70057463937985,11655.898052,184.416,"","OK"
22,11405,2.0951860000000124,259.4092656271964,11655.858421555555,195.264,"","OK"
23,11406,2.131387000000018,243.20092599077435,11655.782590111112,206.112,"","OK"
24,11407,2.061929999999961,228.00126651912876,11655.776215666667,216.96,"","OK"
25,11408,1.9639300000000048,213.7569139589055,11655.867841222223,227.808,"","OK"
26,11409,2.057692999999972,200.39724042675175,11655.865703777778,238.656,"","OK"
27,11410,2.0286960000000818,187.87409162230193,11655.892563333333,249.504,"","OK"
28,11411,2.055027999999993,176.13199386813034,11655.893090888889,260.352,"","OK"
29,11412,2.103313999999955,165.12672915415,11655.845332444444,271.2,"","OK"
30,11413,2.0148770000000695,154.80885099173793,11655.886011,282.048,"","OK"
31,11414,2.0770319999999174,145.13464008253214,11655.864534555556,292.896,"","OK"
32,11415,2.0218280000000277,136.06583304959616,11655.898262111112,303.744,"","OK"
33,11416,2.0559180000000197,127.56174113677423,11655.897899666666,314.592,"","OK"
34,11417,2.0750170000000026,119.58965421155912,11655.889549333333,325.44,"","OK"
35,11418,2.0676189999999224,112.1160547886145,11655.877485888888,336.288,"","OK"
36,11419,2.066515000000095,105.10948632960381,11655.866526444444,347.136,"","OK"
37,11420,2.0467689999999266,98.54069259372574,11655.875313,357.984,"","OK"
38,11421,2.0696490000000267,92.38278014689571,11655.861219555554,368.832,"","OK"
39,11422,2.0444499999999834,86.60955048493702,11655.872325111111,379.68,"","OK"
40,11423,2.047645999999986,81.19694792685063,11655.880234666665,390.528,"","OK"
41,11424,2.0520480000000134,76.12235790364474,11655.883742222222,401.376,"","OK"
42,11425,2.056026999999972,71.36473999994476,11655.883270777776,412.224,"","OK"
43,11426,2.153652000000079,66.91057477772594,11655.785174333334,423.072,"","OK"
44,11427,1.9612109999999348,62.734560388840244,11655.879518888889,433.92,"","OK"
45,11428,2.1237760000000208,58.817914142315445,11655.811298444445,444.768,"","OK"
46,11429,1.9814780000000383,55.1464243556429,11655.885376,455.616,"","OK"
47,11430,2.158743999999956,51.70622211119304,11655.782187555555,466.464,"","OK"
48,11431,1.9581789999999728,48.480669263965765,11655.879564111112,477.312,"","OK"
49,11432,2.1352190000000064,45.455606400245735,11655.799900666667,488.16,"","OK"
50,11433,2.0640470000000732,42.615161715508094,11655.791409222222,499.008,"","OK"
51,11434,2.058459999999968,39.951895636066666,11655.788504777778,509.856,"","OK"
52,11435,2.038573000000042,37.455963568534784,11655.805487333333,520.704,"","OK"
53,11436,2.0809929999999213,35.11655568577918,11655.780049888888,531.552,"","OK"
54,11437,2.030616000000009,32.92332967764027,11655.804989444445,542.4,"","OK"
55,11438,2.0934530000000677,30.867990163065585,11655.767092,553.248,"","OK"
56,11439,2.0328559999999243,28.94015950009616,11655.789791555555,564.096,"","OK"
57,11440,2.04530699999998,27.132040066062437,11655.800040111111,574.944,"","OK"
58,11441,2.0491180000000213,25.436689909155707,11655.806477666665,585.792,"","OK"
59,11442,2.070734000000016,23.84784544261119,11655.791299222223,596.64,"","OK"
60,11443,1.9529430000000048,22.363768387170165,11655.893911777777,607.488,"","OK"
61,11444,2.1153000000000475,20.969766890749746,11655.834167333334,618.336,"","OK"
62,11445,2.077058999999963,19.660500425355714,11655.812663888888,629.184,"","OK"
63,11446,1.9740600000000086,18.436812620993265,11655.894159444446,640.032,"","OK"
64,11447,2.181412000000023,17.292377859959018,11655.768303,650.88,"","OK"
65,11448,1.9382009999999354,16.218938903433756,11655.885657555555,661.728,"","OK"
66,11449,2.1575280000000703,15.211628499746865,11655.783685111111,672.576,"","OK"
67,11450,1.9581299999999828,14.266990815734859,11655.881110666665,683.424,"","OK"
68,11451,2.042336999999975,13.376130049473717,11655.894329222223,694.272,"","OK"
69,11452,2.0551060000000234,12.54015001860378,11655.894778777778,705.12,"","OK"
70,11453,2.056638000000021,11.75645829521876,11655.893696333334,715.968,"","OK"
71,11454,2.051433999999972,11.021937248989762,11655.897817888888,726.816,"","OK"
72,11455,2.092448999999988,10.335372011205616,11655.860924444445,737.664,"","OK"
73,11456,2.038603999999964,9.690470732727439,11655.877876,748.512,"","OK"
74,11457,2.053664000000026,9.084934534154144,11655.879767555554,759.36,"","OK"
