"Packet","Sequence","Delta (ms)","Jitter (ms)","Skew","Bandwidth","Marker","Status"
"127.0.0.1:56795 → 127.0.0.1:5004 (0x03b7f841)"
10342,3725,3.8073009999934584,0.028728344850226708,13074.21476555556,9665.568,"","OK"
10340,3723,3.813211999993655,0.029239180510975456,13074.21267477778,9654.72,"","OK"
10341,3724,3.8683860000019195,0.0289080789512402,13074.188733222225,9654.72,"","OK"
10343,3726,5.201182000004337,0.033951142741883905,13074.102472444443,9654.72,"","OK"
10339,3722,3.7666100000060396,0.029847036988415173,13074.19255344443,9643.872,"","OK"
10344,3727,5.5178889999951934,0.03696113382118037,13074.184583444454,9643.872,"","OK"
10337,3720,3.8378000000084285,0.02541394727031426,13074.182838777779,9633.024,"","OK"
10338,3721,3.890341999998782,0.027388617232813314,13074.125830111108,9633.024,"","OK"
10336,3719,3.8709519999974873,0.02681043264397562,13074.187305444444,9622.176,"","OK"
10345,3728,5.578418999997666,0.035999875456956765,13074.206164444447,9622.176,"","OK"
10334,3717,3.8161050000053365,0.02851797718943453,13074.212292666663,9611.328,"","OK"
10335,3718,3.831812999997055,0.026830624449218587,13074.21381300001,9611.328,"","OK"
10333,3716,3.854217999993125,0.02927062011385375,13074.19506433334,9600.48,"","OK"
10346,3729,5.617446000003838,0.03484025824077304,13074.18871844445,9600.48,"","OK"
10331,3714,3.8841909999900963,0.025642240366519495,13074.123307666669,9589.632,"","OK"
10332,3715,3.740692000006675,0.029829683677134514,13074.215949000005,9589.632,"","OK"
10347,3730,5.581369999999879,0.03382711710018659,13074.20734844444,9589.632,"","OK"
10330,3713,3.8540369999973336,0.02470195268806158,13074.163054222212,9578.784,"","OK"
10328,3711,3.8512160000100266,0.026603983206748266,13074.183321555553,9567.936,"","OK"
10329,3712,3.83289700000023,0.02496850508934229,13074.18375788888,9567.936,"","OK"
10348,3731,5.602607000007993,0.03187585978156067,13074.204741444439,9567.936,"","OK"
10327,3710,3.8496929999964777,0.027185404309398684,13074.20120422222,9557.088,"","OK"
10349,3732,5.639649999997346,0.032361743544683436,13074.165091444447,9557.088,"","OK"
10325,3708,3.812889000007999,0.02889149853245731,13074.20442244444,9546.24,"","OK"
10326,3709,3.831302999999025,0.027907120152158925,13074.217563888888,9546.24,"","OK"
10324,3707,3.8612339999963297,0.029454642879922225,13074.18397811112,9535.392,"","OK"
10350,3733,5.57459899999958,0.031926697072621274,13074.190492444439,9535.392,"","OK"
10322,3705,3.8593430000037188,0.030167235157014343,13074.191455444437,9524.544,"","OK"
10323,3706,3.8129099999932805,0.029558241294060577,13074.211878777787,9524.544,"","OK"
10351,3734,5.615135999993072,0.030877278504785638,13074.175356444452,9524.544,"","OK"
10321,3704,3.835047000000486,0.030444406389132893,13074.217465111113,9513.696,"","OK"
10319,3702,3.831367999999202,0.032302284109071995,13074.183041333337,9502.848,"","OK"
10320,3703,3.8083069999993313,0.03184753718532696,13074.208067666666,9502.848,"","OK"
10352,3735,5.593677000011667,0.029342636096961673,13074.181679444431,9502.848,"","OK"
10318,3701,3.8692489999957616,0.03432474749342128,13074.181075999993,9492,"","OK"
10353,3736,5.573877999995602,0.02914134634154022,13074.207801444441,9492,"","OK"
10316,3699,3.8410100000037346,0.03469290974102843,13074.189886333334,9481.152,"","OK"
10317,3700,3.8062280000012834,0.03421868621516411,13074.21699166666,9481.152,"","OK"
10315,3698,3.791756999999052,0.03677680742756542,13074.18645188889,9470.304,"","OK"
